N   Language             ISO-639    Text
-----------------------------------------------------
1   afrikaans            af         Hallo
2   albanian             sq         Hallo
3   amharic              am         ሀሎ
4   arabic               ar         مرحبا
5   armenian             hy         Սրիկա
6   azerbaijani          az         Salamat
7   basque               eu         Agur
8   belarusian           be         Прывітанне
9   bengali              bn         হ্যালো
10  bosnian              bs         Zdravo
11  bulgarian            bg         Здравейте
12  catalan              ca         Hola
13  cebuano              ceb        Kalabot
14  chichewa             ny         Chikwako
15  chinese (simplified) zh-cn      哈罗
16  chinese (traditional) zh-tw      哈羅
17  corsican             co         Hallo
18  croatian             hr         Zdravo
19  czech                cs         Hallo
20  danish               da         Hej
21  dutch                nl         Hallo
22  english              en         Hello
23  esperanto            eo         Hallo
24  estonian             et         Hallo
25  filipino             tl         Kumusta
26  finnish              fi         Hei
27  french               fr         Bonjour
28  frisian              fy         Hallo
29  galician             gl         Ola
30  georgian             ka         ჰელო
31  german               de         Hallo
32  greek                el         Γειά σου
33  gujarati             gu         વિશાળ
34  haitian creole       ht         Alo
35  hausa                ha         Hallo
36  hawaiian             haw        Aloha
37  hebrew               he         Hallo
38  hindi                hi         अभिनंदन
39  hmong                hmn        Nyob zoo
40  hungarian            hu         Halló
41  icelandic            is         Halló
42  igbo                 ig         Nnọọ
43  indonesian           id         Halo
44  irish                ga         Halla
45  italian              it         Ciao
46  japanese             ja         ハロ
47  javanese             jw         Hello
48  kannada              kn         ಹಾಳೆ
49  kazakh               kk         Хельо
50  khmer                km         ផាបរោក្នា
51  korean               ko         어이
52  kurdish (kurmanji)   ku         Hallo
53  kyrgyz               ky         Hallo
54  lao                  lo         ຮາໂລ
55  latin                la         Heus
56  latvian              lv         Labot
57  lithuanian           lt         Sveiki
58  luxembourgish        lb         Hallo
59  macedonian           mk         Здраво
60  malagasy             mg         Salama
61  malay                ms         Hallo
62  malayalam            ml         ഹലോ
63  maltese              mt         Hello
64  maori                mi         Hamā
65  marathi              mr         हॅलो
66  mongolian            mn         Нлүүн цаг
67  myanmar (burmese)    my         ဟော်ကြီး
68  nepali               ne         अभिवादन
69  norwegian            no         Hallo
70  odia                 or         ହାଲୋ
71  pashto               ps         هالوو
72  persian              fa         سلام
73  polish               pl         Cześć
74  portuguese           pt         Olá
75  punjabi              pa         ਹਾਲੋ
76  romanian             ro         Buna ziua
77  russian              ru         Привет
78  samoan               sm         Talofa
79  scots gaelic         gd         Halò
80  serbian              sr         Халло
81  sesotho              st         Lumela
82  shona                sn         Mhoro
83  sindhi               sd         سلام
84  sinhala              si         හැලෝ
85  slovak               sk         Ahoj
86  slovenian            sl         Hallo
87  somali               so         Ma nabad baa
88  spanish              es         Hola
89  sundanese            su         Halo
90  swahili              sw         Hallo
91  swedish              sv         Hallå
92  tajik                tg         Жоло
93  tamil                ta         ஹாலோ
94  telugu               te         హలో
95  thai                 th         สวัสดี
96  turkish              tr         Merhaba
97  ukrainian            uk         Хал
98  urdu                 ur         ہیلو
99  uyghur               ug         Hallo
100 uzbek                uz         Aldamoq
101 vietnamese           vi         Ê
102 welsh                cy         Hallo
103 xhosa                xh         Mholo
104 yiddish              yi         האַללאָ
105 yoruba               yo         Galto
106 zulu                 zu         Hakela
